,5. Students % Hispanic: ,6. Students % White:,8. Students % Asian:,11. Students % Economically Disadvantaged:,16. Students % Gifted and Talented Education:,17. Attendance Rate (2017-18):,18. Annual Dropout Rate Gr. 9-12 (2017-18):,47. Staff % Teachers:,54. Staff % Minority:,57. Teacher % With 5 or Fewer Years of Experience: ,60. Teacher Turnover Rate:,78. Operating Revenue % Federal:,92. Expenditures % Basic Education Services: ,94. Expenditures % State Compensatory Education:,Racial Dif Stu/Tea,target,"DISTSIZE_1,000 to 1,599","DISTSIZE_1,600 to 2,999","DISTSIZE_10,000 to 24,999","DISTSIZE_25,000 to 49,999","DISTSIZE_3,000 to 4,999","DISTSIZE_5,000 to 9,999","DISTSIZE_50,000 and over",DISTSIZE_500 to 999,DISTSIZE_Under 500,COMMTYPE_Charters,COMMTYPE_Independent Town,COMMTYPE_Major Suburban,COMMTYPE_Major Urban,COMMTYPE_Non-metropolitan Fast Growing,COMMTYPE_Non-metropolitan Stable,COMMTYPE_Other Central City,COMMTYPE_Other Central City Suburban,COMMTYPE_Rural
176,40.7,55.4,0.0,59.3,1.1,95.4,2.4,57.3,14.0,17.5,24.7,5.0,43.4,6.8,18.3125,47.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
177,26.2,67.6,1.0,56.5,3.5,95.4,2.3,45.6,16.7,32.9,17.9,23.7,28.7,22.0,10.7125,42.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
178,26.1,65.5,0.0,100.0,10.2,96.8,0.0,50.3,18.1,33.7,32.7,13.2,42.0,16.6,9.1125,47.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
179,18.2,76.4,0.7,78.4,0.0,95.3,4.8,56.3,9.4,11.0,17.1,11.1,35.0,13.9,8.806249999999997,49.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
180,13.8,46.5,20.9,19.3,13.8,96.7,0.4,54.7,19.4,28.1,13.7,3.5,47.6,3.7,13.2375,75.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,31.5,50.7,1.1,45.1,4.3,95.7,1.3,51.0,21.6,40.5,19.5,6.1,43.6,4.6,17.424999999999994,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
182,24.4,65.8,0.9,22.8,5.9,96.0,0.0,50.1,20.7,20.4,12.0,3.3,48.8,5.5,11.8125,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,37.7,55.6,0.8,51.9,5.3,96.3,0.6,54.5,15.9,29.9,26.2,7.7,47.5,6.2,18.8375,56.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,13.5,41.7,29.2,12.5,12.4,96.5,0.1,57.8,28.3,36.0,14.9,3.2,54.6,1.9,13.11875,75.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
185,28.6,48.3,4.6,32.4,8.8,95.6,0.2,59.3,24.3,26.0,12.8,6.6,51.1,3.9,14.375000000000005,63.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,18.4,63.6,1.8,8.2,7.0,96.9,0.0,55.6,16.3,45.1,17.9,3.4,49.7,2.0,11.937499999999995,71.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
187,25.3,33.6,24.1,31.9,18.7,96.3,0.4,56.5,33.6,31.6,12.6,6.8,48.8,4.7,14.2,65.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
188,45.7,38.9,1.2,58.2,5.0,95.6,1.5,51.5,22.3,35.8,16.3,7.8,51.5,7.4,23.00625,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
189,12.7,61.0,10.4,7.6,10.1,96.3,0.2,60.8,16.8,30.1,15.7,1.8,57.1,1.3,9.59375,71.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,22.4,47.7,10.7,27.8,12.2,96.5,0.3,51.4,24.0,38.5,12.1,4.9,52.1,3.5,15.474999999999998,71.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,27.2,69.4,0.0,52.2,6.5,95.9,0.4,54.4,5.3,19.9,22.8,5.1,47.2,8.5,14.437499999999998,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
192,35.5,53.0,1.5,49.4,8.1,95.9,0.2,52.0,23.4,55.3,25.0,6.0,43.8,3.4,14.85625,51.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,8.4,75.0,8.0,3.7,20.0,96.6,0.0,49.8,16.0,25.2,19.6,2.4,47.8,1.7,5.7125,85.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
194,49.5,45.4,0.0,66.2,2.4,97.1,0.0,55.1,20.7,18.0,7.2,8.2,42.2,10.4,25.075000000000006,46.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
195,46.5,39.5,0.7,60.3,2.9,96.0,0.6,53.9,20.9,31.1,9.9,11.0,38.1,8.7,25.03125,49.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
196,57.2,23.5,0.6,81.1,3.5,94.6,0.5,50.0,34.4,27.0,14.8,8.8,38.8,16.9,29.60625,42.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,44.1,42.8,0.2,59.0,5.1,97.0,0.0,53.3,13.0,29.0,19.9,12.4,37.5,9.6,25.125,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
198,35.7,39.7,0.0,100.0,0.0,99.4,22.2,51.9,26.0,42.5,28.5,8.0,18.9,21.4,22.8625,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
199,47.6,46.6,1.0,38.4,7.7,95.4,0.8,47.1,34.8,23.0,20.0,8.5,43.1,7.6,15.69375,59.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
200,39.3,53.3,1.3,29.7,11.9,95.6,0.4,53.0,27.1,28.3,16.4,7.1,51.8,3.2,12.28125,64.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,52.4,44.8,0.2,68.3,5.3,96.1,0.0,49.7,29.8,24.7,14.6,11.7,42.7,13.4,19.9375,40.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,33.6,64.2,0.4,64.1,4.7,96.5,0.5,49.1,17.5,30.0,21.9,14.7,30.9,9.5,13.5,52.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
203,70.5,28.1,0.0,76.7,2.1,95.9,0.0,51.5,20.7,71.6,67.5,12.1,32.6,10.5,32.75,43.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
204,22.3,77.7,0.0,56.8,7.9,96.7,0.0,61.1,16.5,43.6,19.1,7.8,47.1,6.4,4.399999999999999,48.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
205,65.0,32.3,1.4,64.1,2.8,96.5,0.0,49.1,26.1,37.2,7.8,6.6,34.4,10.9,28.3,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
206,46.1,45.7,0.8,76.5,7.0,94.6,0.0,56.0,9.5,29.8,13.5,7.7,33.5,9.4,21.0,34.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
207,57.4,30.8,0.7,78.1,4.3,95.3,1.3,52.2,17.8,52.0,28.8,15.3,38.9,14.9,26.50625,37.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
208,4.6,91.8,1.2,15.8,4.6,97.7,0.0,62.1,1.5,15.5,20.2,2.3,52.0,2.6,3.1125000000000007,75.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
209,30.3,67.3,0.1,58.4,5.1,96.3,0.4,51.6,15.0,25.1,19.1,4.2,44.0,6.0,13.075000000000005,41.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
210,13.8,81.8,0.3,43.7,4.3,96.4,0.3,54.2,9.8,18.8,18.5,11.2,38.0,7.4,5.881250000000001,56.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
211,11.8,84.5,0.4,32.7,6.0,96.7,0.6,62.3,4.9,23.7,15.4,4.6,45.6,4.7,5.374999999999997,54.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
212,2.1,93.1,1.9,12.1,6.2,97.5,0.0,61.0,1.5,19.7,13.1,3.1,48.4,2.4,2.08125,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
213,21.9,75.5,0.0,62.7,2.6,96.5,0.0,46.6,10.8,37.2,50.0,8.3,43.4,8.4,7.375,38.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
214,22.7,68.9,0.6,52.6,9.0,94.4,0.4,50.7,11.8,35.2,17.4,10.2,40.3,7.3,9.7125,44.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,27.8,66.3,0.0,62.7,0.6,95.7,0.0,62.5,9.9,38.5,15.9,10.2,41.1,7.4,15.45,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
216,12.0,85.9,0.6,53.1,0.9,96.6,0.0,50.3,4.4,30.4,15.8,4.9,35.5,9.6,4.487499999999999,40.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
217,27.3,40.3,1.5,57.3,5.8,94.8,1.3,45.0,29.8,51.7,24.1,23.5,44.5,7.7,13.868750000000002,47.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
218,41.6,43.1,0.0,64.4,7.9,95.3,0.0,56.0,15.0,26.8,20.0,9.8,29.3,12.3,26.525,40.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
219,79.1,17.8,0.5,52.8,6.3,94.9,0.0,54.9,45.9,23.6,32.1,5.2,45.1,3.2,27.18125,37.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,75.7,22.1,0.4,53.4,7.1,95.4,1.0,48.1,53.4,35.0,19.7,5.8,45.6,6.0,23.3375,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
221,75.0,20.9,0.0,83.0,5.8,94.5,0.9,55.8,45.3,39.0,29.4,9.6,35.5,7.7,21.975,32.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
222,85.9,10.7,0.0,78.9,2.2,94.5,0.0,49.9,35.6,27.7,33.8,26.6,24.2,13.5,39.925,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
223,74.6,22.9,0.2,82.3,1.5,95.1,0.7,56.8,31.3,46.4,24.6,13.4,36.8,17.8,30.0875,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
224,84.7,10.1,2.1,77.8,5.6,92.8,0.7,54.2,76.7,18.0,22.7,7.5,22.6,13.8,10.750000000000002,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
225,61.6,35.2,0.4,57.0,3.5,95.3,0.2,60.6,26.0,35.2,17.3,10.7,44.3,6.9,26.075,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
226,51.4,48.0,0.0,64.8,3.9,96.0,0.0,57.1,16.1,62.6,27.7,6.8,38.5,12.4,20.3,36.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
227,56.2,3.4,0.3,84.5,0.0,95.4,0.0,58.6,54.9,53.1,30.7,12.8,39.7,12.6,26.143750000000004,24.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
228,68.1,3.5,6.6,80.9,0.0,96.3,0.3,55.8,60.5,85.4,27.0,10.4,50.1,8.8,27.2125,46.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
229,59.8,7.4,0.4,83.8,0.0,90.5,13.5,43.1,78.5,60.2,37.3,13.8,28.9,17.4,20.04375,17.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
230,56.1,14.0,1.6,77.0,2.2,95.4,0.6,50.1,53.5,61.0,50.9,9.6,37.9,19.1,25.71875,26.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
231,38.3,12.9,0.4,63.1,4.5,96.8,0.0,56.6,40.2,57.5,31.6,8.9,43.2,7.8,24.975,37.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
232,25.3,1.2,55.4,31.5,9.8,96.6,0.0,69.2,64.7,88.8,38.5,5.5,56.5,2.1,18.85,65.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
233,41.9,26.7,1.6,54.2,0.0,78.6,9.3,45.9,46.0,57.1,33.7,5.0,48.0,12.8,17.7625,23.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,90.6,4.3,0.5,90.1,2.3,96.7,0.3,47.7,55.1,62.2,31.3,11.2,35.7,11.6,34.756249999999994,35.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
235,89.6,1.3,0.0,93.9,3.1,96.4,1.3,47.2,71.5,57.8,24.8,11.4,34.9,11.9,32.80625,30.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
236,4.0,0.4,0.0,90.8,0.9,95.6,0.6,56.5,97.2,71.7,47.8,14.3,22.6,19.3,1.4375,34.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
237,40.1,11.0,0.5,76.5,0.0,79.2,13.8,49.6,89.2,51.1,14.0,7.6,4.2,55.7,16.868750000000002,16.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
238,40.3,41.2,3.4,35.3,0.0,96.1,0.0,58.2,20.5,0.0,33.2,3.1,56.0,2.6,17.9,57.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
